index,lensName,survey,zl,zs,theta_E,theta_eff,theta_ap,sigma_ap,sigma_ap_err,gamma_E2022LD,gamma_E2022LD_err,gamma_E2022OL,gamma_E2022OL_err_up,gamma_E2022OL_err_low
116,b'SDSSJ1430+6104',b' S4TM',0.1688,0.6537,1.0,2.24,1.5,180.0,15.0,1e+20,1e+20,1e+20,1e+20,1e+20
117,b'SDSSJ1433+2835',b' S4TM',0.0912,0.4115,1.53,3.23,1.5,230.0,6.0,1e+20,1e+20,1e+20,1e+20,1e+20
118,b'SDSSJ1541+3642',b' S4TM',0.1406,0.7389,1.17,1.55,1.5,194.0,11.0,1e+20,1e+20,1e+20,1e+20,1e+20
119,b'SDSSJ1543+2202',b' S4TM',0.2681,0.3966,0.78,2.32,1.5,285.0,16.0,1e+20,1e+20,1e+20,1e+20,1e+20
120,b'SDSSJ1550+2020',b' S4TM',0.1351,0.3501,1.01,1.68,1.5,243.0,9.0,1e+20,1e+20,1e+20,1e+20,1e+20
121,b'SDSSJ1553+3004',b' S4TM',0.1604,0.5663,0.84,2.15,1.5,194.0,15.0,1e+20,1e+20,1e+20,1e+20,1e+20
122,b'SDSSJ1607+2147',b' S4TM',0.2089,0.4865,0.57,2.63,1.5,197.0,16.0,1e+20,1e+20,1e+20,1e+20,1e+20
123,b'SDSSJ1633+1441',b' S4TM',0.1281,0.5804,1.39,2.39,1.5,231.0,9.0,1e+20,1e+20,1e+20,1e+20,1e+20
124,b'SDSSJ2309-0039',b' S4TM',0.2905,1.0048,1.14,2.08,1.5,184.0,13.0,1e+20,1e+20,1e+20,1e+20,1e+20
125,b'SDSSJ2324+0105',b' S4TM',0.1899,0.2775,0.59,1.1,1.5,245.0,15.0,1e+20,1e+20,1e+20,1e+20,1e+20
126,b'SDSSJ0801+4727',b' BELLS',0.483,1.518,0.49,0.5,1.0,98.0,24.0,1e+20,1e+20,1e+20,1e+20,1e+20
127,b'SDSSJ1234-0241',b' BELLS',0.49,1.016,0.53,1.05,1.0,122.0,31.0,1e+20,1e+20,1e+20,1e+20,1e+20
128,b'SDSSJ1352+3216',b' BELLS',0.463,1.034,1.82,0.58,1.0,161.0,21.0,1e+20,1e+20,1e+20,1e+20,1e+20
129,b'SDSSJ1159-0007',b' BELLS',0.579,1.346,0.68,0.96,1.0,165.0,41.0,1e+20,1e+20,1e+20,1e+20,1e+20
130,b'SDSSJ1318-0104',b' BELLS',0.659,1.396,0.68,0.69,1.0,177.0,27.0,1e+20,1e+20,1e+20,1e+20,1e+20
131,b'SDSSJ1349+3612',b' BELLS',0.44,0.893,0.75,1.89,1.0,178.0,18.0,1e+20,1e+20,1e+20,1e+20,1e+20
132,b'SDSSJ1221+3806',b' BELLS',0.535,1.284,0.7,0.47,1.0,187.0,48.0,1e+20,1e+20,1e+20,1e+20,1e+20
133,b'SDSSJ0944-0147',b' BELLS',0.539,1.179,0.73,0.48,1.0,204.0,34.0,1e+20,1e+20,1e+20,1e+20,1e+20
134,b'SDSSJ1601+2138',b' BELLS',0.544,1.446,0.86,0.44,1.0,207.0,36.0,1e+20,1e+20,1e+20,1e+20,1e+20
135,b'SDSSJ1542+1629',b' BELLS',0.352,1.023,1.04,0.73,1.0,210.0,16.0,1e+20,1e+20,1e+20,1e+20,1e+20
136,b'SDSSJ0151+0049',b' BELLS',0.517,1.364,0.68,0.67,1.0,219.0,39.0,1e+20,1e+20,1e+20,1e+20,1e+20
137,b'SDSSJ1337+3620',b' BELLS',0.564,1.182,1.39,2.03,1.0,225.0,35.0,1e+20,1e+20,1e+20,1e+20,1e+20
138,b'SDSSJ2125+0411',b' BELLS',0.363,0.978,1.2,0.9,1.0,247.0,17.0,1e+20,1e+20,1e+20,1e+20,1e+20
139,b'SDSSJ1545+2748',b' BELLS',0.522,1.289,1.21,2.59,1.0,250.0,37.0,1e+20,1e+20,1e+20,1e+20,1e+20
140,b'SDSSJ1215+0047',b' BELLS',0.642,1.297,1.37,0.65,1.0,262.0,45.0,1e+20,1e+20,1e+20,1e+20,1e+20
141,b'SDSSJ0830+5116',b' BELLS',0.53,1.332,1.14,0.97,1.0,268.0,36.0,1e+20,1e+20,1e+20,1e+20,1e+20
142,b'SDSSJ1631+1854',b' BELLS',0.408,1.086,1.63,1.43,1.0,272.0,14.0,1e+20,1e+20,1e+20,1e+20,1e+20
143,b'SDSSJ2303+0037',b' BELLS',0.458,0.936,1.02,1.35,1.0,274.0,31.0,1e+20,1e+20,1e+20,1e+20,1e+20
144,b'SDSSJ0747+4448',b' BELLS',0.437,0.897,0.61,0.92,1.0,281.0,52.0,1e+20,1e+20,1e+20,1e+20,1e+20
